Year,EmployerName,Salary
2013,Abraxis Charter,39494.666666666664
2013,Academy for Academic Excellence,48436.90410958904
2013,Acalanes Union High,65524.98837209302
2013,Accelerated,40962.59459459459
2013,Accelerated Achievement Academy,32353.11111111111
2013,ACE Charter High,23787.625
2013,AIMS College Prep High,18751.722222222223
2013,AIMS College Prep Middle,16674.04
2013,Alameda Unified,45733.27698863636
2013,Albany City Unified,42261.131386861314
2013,Alexander Valley Union Elementary,22034.083333333332
2013,Alhambra Unified,55788.741798941795
2013,Alliance Christie O'Donovan Middle Academy,41047.44
2013,Alliance Cindy and Bill Simon Technology Academy High,35295.793103448275
2013,Alliance College-Ready Middle Academy 4,41810.75
2013,Alliance College-Ready Middle Academy 5,28955.962962962964
2013,Alliance College-Ready Middle Academy 7,42580.34782608696
2013,Alliance Dr. Olga Mohan High,39518.38888888889
2013,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,44791.44117647059
2013,Alliance Jack H. Skirball Middle,44378
2013,Alliance Judy Ivie Burton Technology Academy High,45372.73529411765
2013,Alliance Leichtman-Levine Family Foundation Environmental Science High,46248.666666666664
2013,Alliance Marc & Eva Stern Math and Science,41381.65789473684
2013,Alliance Morgan McKinzie High,34178.541666666664
2013,Alliance Ouchi-O'Donovan 6-12 Complex,30883.133777777777
2013,Alliance Renee and Meyer Luskin Academy High,49075.38461538462
2013,Alliance Richard Merkin Middle Academy,41235.307692307695
2013,Alliance Susan and Eric Smidt Technology High,31119.9375
2013,Alliance Ted K. Tajima High,36200.944444444445
2013,Alliance Tennenbaum Family Technology High,28784.59259259259
2013,Alpaugh Unified,30758.82857142857
2013,Alpha: Blanca Alvarado,15542.55
2013,Alta Loma Elementary,69350.19367521367
2013,Alta Vista Public,19980.467289719625
2013,Alvord Unified,49049.19397993311
2013,Ambassador Phillip V. Sanchez Public Charter,42074.666666666664
2013,American Indian Public Charter II,24401.608695652172
2013,America's Finest Charter,29441.46153846154
2013,Anaheim Elementary,55543.36587436333
2013,Anaheim Union High,67409.13107080164
2013,Anderson Valley Unified,33963.46875
2013,Antelope Elementary,63141.78378378379
2013,Antelope Valley Learning Academy,14774.898936170212
2013,Antelope Valley Union High,52039.02244668912
2013,Antioch Unified,63871.85017026107
2013,Arcadia Unified,50893.10058309038
2013,"Architecture, Construction & Engineering Charter High (ACE)",24683
2013,Arcohe Union Elementary,30432.214285714286
2013,Arena Union Elem./Point Arena Jt. Union High,44498.756097560974
2013,Armona Union Elementary,15925.377358490568
2013,Aromas - San Juan Unified,37147.96666666667
2013,Assurance Learning Academy,13409.372093023256
2013,Atwater Elementary,11227.020774315391
2013,Auburn Union Elementary,25950.095541401275
2013,Audeo Charter,38705.47826086957
2013,Bakersfield City,58181.4680156658
2013,Baldwin Park Unified,53396.791666666664
2013,Ballico-Cressey Elementary,0
2013,Bangor Union Elementary,38482
2013,Banta Unified,37629.166666666664
2013,Bay View Academy,22678.77142857143
2013,Bear Valley Unified,41469.46464646464
2013,Beardsley Elementary,55209.32258064516
2013,Bella Vista Elementary,32742.733333333337
2013,Benicia Unified,60250.83712121212
2013,Beverly Hills Unified,46700.89539748954
2013,Big Picture Educational Academy,23595.8
2013,Big Springs Union Elementary,46588.28571428572
2013,Big Sur Charter,13789
2013,Big Sur Unified,25549.090909090908
2013,Big Valley Joint Unified,18201.03125
2013,Biggs Unified,43357.416666666664
2013,Bishop Unified,62558.34259259259
2013,Black Butte Union Elementary,20166.1
2013,Blake Elementary,26538.5
2013,Blochman Union Elementary,50360.625
2013,Blue Oak Charter,35458.57142857143
2013,Bonsall Union Elementary,57689.6261682243
2013,Borrego Springs Unified,48421.8064516129
2013,Brea-Olinda Unified,51527.72897196261
2013,Brentwood Union Elementary,52190.56363636364
2013,Bret Harte Union High,39539.02352941177
2013,BRIDGES Charter,21496.166666666668
2013,Briggs Elementary,39652.97435897436
2013,Browns Elementary,34636.583333333336
2013,Buena Park Elementary,83272.24884792627
2013,Buena Vista Elementary,24448.08695652174
2013,Burbank Unified,47795.308865586274
2013,Butte Valley Unified,49766.84615384616
2013,Buttonwillow Union Elementary,54868.53333333333
2013,Cajon Valley Union,46512.15101289134
2013,Calistoga Joint Unified,82063.14285714286
2013,Camarillo Academy of Progressive Education,39936.42424242424
2013,Camino Nuevo Charter Academy,29354.701492537315
2013,Camino Nuevo Charter Academy #2,33877.61224489796
2013,Camino Nuevo Charter Academy #4,32192.02
2013,Camino Nuevo Charter High,27922.891304347828
2013,Camino Nuevo Elementary #3,26925.84
2013,Capistrano Unified,55719.82146690519
2013,Cardiff Elementary,34039.654320987655
2013,Carlsbad Unified,67893.68010075566
2013,Carter G. Woodson Public Charter,25726.68
2013,Castle Rock,10577.388888888889
2013,Castro Valley Unified,55209.36706349206
2013,Central Union Elementary,30653.778723404255
2013,Chaffey Joint Union High,77178.28277886497
2013,Chico Unified,15947.520782396088
2013,Children's Community Charter,34538.357142857145
2013,CHIME Institute's Schwarzenegger Community,43511.14893617021
2013,Chino Valley Unified,74877.53393213573
2013,Chrysalis Charter,16677.222222222223
2013,Chula Vista Elementary,47554.10683974039
2013,Cinnabar Elementary,24126.685714285715
2013,Citizens of the World Charter School Hollywood,19797.396551724138
2013,Citizens of the World Charter School Silver Lake,21204.428571428572
2013,City Heights Preparatory Charter,16176.25
2013,Classical Academy,31821.323076923076
2013,Classical Academy High,27143.7
2013,Coastal Academy,26400.743243243243
2013,Colton Joint Unified,64987.3604757548
2013,Columbia Elementary,38886.045454545456
2013,Columbine Elementary,37904.444444444445
2013,Colusa Unified,25356.427631578947
2013,Compton Unified,68460.06862745098
2013,Contra Costa County Office of Education,47341.45495495496
2013,Corcoran Joint Unified,31039.14864864865
2013,Corning Union Elementary,30914.443113772457
2013,Coronado Unified,39187.91459074733
2013,Corona-Norco Unified,47464.759921925826
2013,Cotati-Rohnert Park Unified,52847.76351351351
2013,Cottonwood Union Elementary,26811.44230769231
2013,Cox Bar Elementary,14282.4
2013,Crescent Valley Public Charter,51158.26666666667
2013,Crescent View South Charter,50142.77272727273
2013,Crescent View West Public Charter,55368.15384615384
2013,Cucamonga Elementary,74490.13642857142
2013,Culver City Unified,44153.64962121212
2013,Cupertino Union,55945.12998266898
2013,Cypress Elementary,56648.90640394088
2013,Da Vinci Design,36769.88636363636
2013,Da Vinci Science,48549.666666666664
2013,Del Mar Union Elementary,64004.260273972606
2013,Delano Joint Union High,64179.85106382979
2013,Delhi Unified,47682.294117647056
2013,Delta Charter,35278
2013,Delta Elementary Charter,36723.9375
2013,Desert Center Unified,37609.5
2013,Desert Sands Charter,16156.741463414632
2013,Desert Sands Unified,52242.61429451633
2013,Diego Hills Charter,49800.69696969697
2013,Diego Valley Charter,35232.25925925926
2013,Dinuba Unified,43151.9552238806
2013,Discovery Charter (San Joaquin),45474.1625
2013,Discovery Charter Preparatory #2,31339.1
2013,Dos Palos Oro Loma Joint Unified,54582.38738738739
2013,Douglas City Elementary,16826.60714285714
2013,Downey Unified,59287.469126506025
2013,Ducor Union Elementary,17651.6
2013,Dunham Elementary,26865.416666666668
2013,Dunsmuir Joint Union High,28205.5
2013,Durham Unified,56074.57142857143
2013,Earlimart Elementary,64523.22471910113
2013,East Oakland Leadership Academy,34967.142857142855
